FullName,Gender,Major,Description,Personality,Interests,Communication_Style,Looking_for,Favorite_Subject,Study_Location,Study_Time
Đặng Quang Minh,Male,CH,,ENTJ,"Makeup, Ballet",Phone call,Share knowledge,"Chemistry, Health Care, Artificial Intelligence","Home, Online, Bookstore",Midday
Đoàn Đức Minh,Male,CH,,ISTJ,"Bowling, Karate",Phone call,Share knowledge,"Health Care, Environment, Biology, Linear Algebra, Artificial Intelligence","Café, Online, Library",Early Morning
Lâm Quang Minh,Male,SIC,,INFJ,Alcoholic,Phone call,Share knowledge,"Artificial Intelligence, Health Care, Practical laboratory","Bookstore, Library",Overnight
Lê Quang Minh,Male,FST,,ENTP,"V-pop, Netflix, Volleyball",Text message,Share knowledge,"Biology, Physics",Online,Night
Phạm Hữu Minh,Male,SST,,INTP,"Baseball, Taekwondo, EDM, Dancing",Video call,Share knowledge,"Practical laboratory, Electronic","Library, Home, Café",Midnight
Trần Vũ Công Minh,Male,ICT,,ESTP,"Board games, K-pop, Baseball, Badminton, Study",Phone call,Share knowledge,"Practical laboratory, Artificial Intelligence",Café,Evening
Kim Xuân Nam,Male,MAT,,ESFJ,"Makeup, Swimming, Hiphop, Rap",Phone call,Chit Chatting,"Environment, Calculus, Health Care, Artificial Intelligence",Café,Midday
Phương Anh Nam,Male,AES,,ISFJ,"V-pop, Dancing",Video call,Share knowledge,"Calculus, Programming, Physics","Online, Café",Night
Võ Đức Nam,Male,MAT,,ESTP,"Skateboarding, DIY, Hiphop",In-person (face-to-face),Share knowledge,"Linear Algebra, Environment, Artificial Intelligence, Physics, Chemistry","Home, Library",Early Morning
Lương Quỳnh Nhi,Female,BIT,,ISTP,"Travel, Alcoholic, Politics, K-pop",In-person (face-to-face),Study supporter,"Health Care, Electronic, Calculus",Library,Midnight
Hoàng Lê Phan,Male,BIT,,ESFP,"Taekwondo, Ballet, Table tennis, Jogging",Phone call,Study supporter,"Physics, Electronic, Chemistry, Artificial Intelligence","Bookstore, Home, Online",Midnight
Hoàng Tuấn Phong,Male,FST,,ESTP,"Hiphop, Ballet, Netflix, V-pop",Video call,Study supporter,"Programming, Practical laboratory, Calculus, Environment","Home, Library, Bookstore",Midnight
Lương Quốc Phong,Male,CH,,ISTJ,"singing, Badminton, Coffee, Tea, EDM",Text message,Share knowledge,"Biology, Artificial Intelligence, Health Care",Home,Evening
Đặng Gia Phúc,Male,MAT,,ESTP,"Alcoholic, K-pop, Rap, Hiphop",In-person (face-to-face),Study supporter,"Environment, Chemistry, Biology","Bookstore, Library, Café",Midday
Nguyễn Hữu Phương,Male,Pharmacy,,INTP,"Painting, Bowling, Skiing",Phone call,Share knowledge,Calculus,"Online, Bookstore, Home",Midday
Lương Thị Phượng,Female,AES,,ENFP,"EDM, Makeup, Skiing",In-person (face-to-face),Share knowledge,"Practical laboratory, Biology, Linear Algebra","Online, Home, Bookstore",Night
Nguyễn Ngọc Quang,Male,AES,,ISTP,"Table tennis, Swimming, V-pop, Alcoholic, Food tour",Video call,Share knowledge,"Health Care, Physics, Programming, Artificial Intelligence","Library, Online, Home",Early Morning
Hoàng Minh Quân,Male,SST,,ESFP,"Ballet, Badminton, Politics, Makeup, Vlogging",Phone call,Chit Chatting,"Artificial Intelligence, Electronic, Physics","Bookstore, Café, Online",Evening
Đinh Như Quỳnh,Female,AE,,ISTJ,Karate,Video call,Share knowledge,"Linear Algebra, Chemistry, Electronic",Bookstore,Early Morning
Hoàng Minh Sang,Male,Pharmacy,,INTP,Anime,Phone call,Chit Chatting,"Chemistry, Health Care, Environment","Home, Online, Café",Evening
Đặng Thái Sơn,Male,SST,,ENTP,"Football, Bowling",Video call,Share knowledge,"Environment, Practical laboratory",Café,Overnight
Nghiêm Xuân Sơn,Male,CS,,ENTJ,"Board games, Skiing, Food tour",Text message,Chit Chatting,"Physics, Calculus","Home, Bookstore",Overnight
Nguyễn Duy Sơn,Male,ATE,,ESFJ,"V-pop, Investment, Korean food",In-person (face-to-face),Share knowledge,"Chemistry, Calculus, Electronic","Home, Online, Bookstore",Evening
Nguyễn Mạnh Thái,Male,AE,,ESFJ,"Bowling, Taekwondo, Gym, Badminton",Phone call,Study supporter,"Health Care, Linear Algebra, Calculus, Chemistry","Café, Home",Night
Vũ Xuân Thái,Male,AES,,ISFJ,"Travel, Dancing, Baseball, Food tour, Ballet",Phone call,Share knowledge,"Practical laboratory, Environment, Linear Algebra","Online, Café, Bookstore",Overnight
Trần Văn Thành,Male,MST,,INTP,"Ballet, Yoga",Video call,Share knowledge,"Environment, Practical laboratory, Artificial Intelligence, Calculus, Physics","Online, Library, Café",Overnight
Lê Trung Thông,Male,CS,,ISTP,"Travel, Basketball",In-person (face-to-face),Share knowledge,"Artificial Intelligence, Electronic, Environment, Physics","Online, Café",Night
Lê Quý Tôn,Male,SST,,ISFP,"Jogging, Swimming, Yoga, Ballet",In-person (face-to-face),Share knowledge,"Biology, Health Care, Environment, Artificial Intelligence, Linear Algebra","Home, Online, Library",Overnight
Nguyễn Thùy Trang,Female,Pharmacy,,INFJ,"V-pop, Board games",Video call,Share knowledge,"Calculus, Electronic",Home,Evening
Phạm Đức Trọng,Male,MAT,,ISFP,"Gym, K-pop, V-pop, singing, Swimming",Text message,Study supporter,"Chemistry, Calculus, Artificial Intelligence, Health Care, Physics","Home, Café, Library",Overnight
Nguyễn Anh Tuấn,Male,Pharmacy,,ISFJ,Politics,Phone call,Study supporter,"Electronic, Biology","Online, Home",Early Morning
Nguyễn Văn Tùng,Male,SST,,ISFP,singing,Phone call,Study supporter,"Environment, Calculus, Biology, Chemistry, Artificial Intelligence",Café,Midnight
Phan Nguyễn Tú Uyên,Female,AES,,ESTP,"singing, DIY",Text message,Study supporter,"Chemistry, Calculus, Environment, Biology, Artificial Intelligence","Café, Online, Bookstore",Evening
Đinh Bá Việt,Male,DS,,ENTJ,"Board games, Skiing",In-person (face-to-face),Share knowledge,"Linear Algebra, Biology, Physics, Practical laboratory",Library,Overnight
Nguyễn Hoàng Việt,Male,EER,,ISTP,"Jogging, Politics, Ballet, Netflix, Karate",Video call,Chit Chatting,"Practical laboratory, Environment, Linear Algebra, Health Care, Calculus","Online, Bookstore, Home",Evening
Phạm Hoàng Việt,Male,BIT,,ENFJ,"Netflix, Skateboarding, Ballet, Makeup, Study",In-person (face-to-face),Study supporter,Environment,"Library, Online, Bookstore",Overnight
Lê Quang Vinh,Male,AMS,,ENTP,"singing, Anime",Video call,Study supporter,"Biology, Chemistry","Library, Online",Midnight
Nguyễn Quý Vinh,Male,MAT,,ESFJ,Anime,Phone call,Chit Chatting,"Linear Algebra, Programming, Artificial Intelligence","Home, Online",Early Morning
Lưu Đức Anh,Male,AE,,ENTP,"Ballet, Baseball, K-pop, Netflix, Cooking",Phone call,Study supporter,"Programming, Environment, Health Care, Linear Algebra","Bookstore, Café, Online",Early Morning
Nguyễn Thạc Quang Anh,Male,AE,,ISFJ,"DIY, Taekwondo, Anime, Investment, Politics",Phone call,Share knowledge,"Physics, Artificial Intelligence, Biology",Bookstore,Midday
Nguyễn Việt Anh,Male,FST,,ESFJ,"Basketball, Volleyball",Video call,Study supporter,"Physics, Chemistry, Linear Algebra, Health Care",Bookstore,Night
Trần Duy Anh,Male,DS,,INTP,"Volleyball, Badminton",Phone call,Share knowledge,"Programming, Physics","Home, Café",Midnight
Trần Nguyễn Hoàng Anh,Male,SIC,,ESTP,"Food tour, Volleyball",Text message,Study supporter,"Environment, Biology, Health Care","Online, Library",Evening
Trịnh Hoàng Châu,Male,MST,,INTJ,"Skateboarding, Dancing, Vlogging",Text message,Study supporter,"Physics, Practical laboratory, Biology, Chemistry",Library,Early Morning
Hồ Anh Dũng,Male,CS,,ESFJ,Volleyball,Phone call,Study supporter,"Chemistry, Environment, Physics, Electronic, Practical laboratory",Home,Night
Nguyễn Hùng Dũng,Male,SST,,INTJ,"Table tennis, V-pop, Vlogging",Video call,Share knowledge,"Electronic, Artificial Intelligence, Programming, Linear Algebra","Library, Bookstore, Online",Evening
Nguyễn Trung Dũng,Male,DS,,ENFJ,"Basketball, Hiphop, Ballet, Movie",Phone call,Study supporter,"Physics, Electronic","Online, Library",Night
Trần Anh Duy,Male,CH,,ENFJ,"Alcoholic, Jogging, Study",Video call,Share knowledge,"Health Care, Artificial Intelligence",Home,Overnight
Nguyễn Đức Dương,Male,MAT,,ESFP,"Badminton, Board games, Ballet",Text message,Share knowledge,"Health Care, Chemistry, Artificial Intelligence, Biology","Online, Café",Night
Nguyễn Thùy Dương,Female,ICT,,ESFJ,"Yoga, Alcoholic, Travel",Text message,Share knowledge,Biology,Home,Early Morning
Nguyễn Tiến Đạt,Male,DS,,ESTP,"Baseball, Movie, Dancing, Painting",In-person (face-to-face),Study supporter,"Health Care, Programming, Electronic, Physics","Online, Home, Library",Evening
Nguyễn Ngọc Đĩnh,Male,DS,,ENFP,"Yoga, Swimming, Dancing, Art",Video call,Share knowledge,"Linear Algebra, Health Care, Artificial Intelligence, Environment, Practical laboratory",Bookstore,Midnight
Nguyễn Văn Đức,Male,MAT,,ISTJ,"K-pop, Skiing, Vlogging, Food tour",Video call,Chit Chatting,"Physics, Chemistry, Environment, Artificial Intelligence","Home, Café",Midnight
Nguyễn Xuân Hiệp,Male,BIT,,INFP,"Jogging, Dancing, Politics, Badminton",Video call,Chit Chatting,"Linear Algebra, Chemistry, Programming, Electronic",Bookstore,Evening
Mai Việt Hoàng,Male,ATE,,INFJ,"Badminton, Hiphop, Movie, Swimming, Ballet",Video call,Chit Chatting,"Artificial Intelligence, Electronic, Programming, Linear Algebra, Practical laboratory",Café,Midday
Phan Văn Hội,Male,AES,,ENTP,Volleyball,In-person (face-to-face),Study supporter,"Programming, Practical laboratory",Online,Early Morning
Nguyễn Chí Hùng,Male,ATE,,ENFP,"Jogging, Karate, singing, Korean food, DIY",Text message,Study supporter,Environment,Home,Midnight
Lê Đức Huy,Male,ICT,,ESFJ,"Badminton, Skateboarding",Phone call,Share knowledge,"Electronic, Biology","Home, Bookstore, Online",Evening
Lê Quang Huy,Male,Pharmacy,,INFJ,"Dancing, Cooking, DIY",Video call,Study supporter,"Linear Algebra, Practical laboratory","Bookstore, Home, Online",Early Morning
Phạm Bá Trường Hưng,Male,AMS,,INTJ,"Politics, singing, Taekwondo, Makeup",Text message,Study supporter,"Linear Algebra, Programming, Chemistry","Home, Bookstore, Library",Evening
Phạm Quốc Hưng,Male,BIT,,ISFP,"Karate, Study, DIY",Video call,Study supporter,Health Care,Café,Overnight
Khuất Duy Hữu,Male,BIT,,ISTP,"Investment, Anime, Dancing, Study, Politics",Video call,Share knowledge,"Environment, Physics, Linear Algebra",Library,Midnight
Vũ Văn Khải,Male,FST,,ENFJ,"EDM, Alcoholic, Swimming",Video call,Chit Chatting,"Electronic, Physics, Artificial Intelligence",Home,Evening
Phạm Gia Khánh,Male,SST,,ISFJ,"V-pop, Yoga",Text message,Share knowledge,"Linear Algebra, Programming","Bookstore, Café",Early Morning
Lê Trần Minh Khôi,Male,DS,,ENTJ,"Skiing, Investment",Phone call,Share knowledge,"Chemistry, Environment, Practical laboratory, Artificial Intelligence, Electronic",Home,Midday
Nguyễn Khánh Linh,Female,MST,,ENFJ,"Baseball, Korean food",Video call,Study supporter,"Calculus, Environment, Linear Algebra, Artificial Intelligence, Physics",Home,Evening
Vương Đình Mạnh,Male,ICT,,ENTP,"Vlogging, Cooking, Badminton, Skiing, Study",Video call,Study supporter,"Practical laboratory, Physics, Linear Algebra","Home, Café",Evening
Chu Minh,Male,MST,,ESTJ,"Football, Basketball, Dancing, Korean food",Phone call,Chit Chatting,Linear Algebra,"Library, Home, Café",Overnight
Đào Bình Minh,Male,ICT,,ESFJ,EDM,In-person (face-to-face),Study supporter,"Physics, Artificial Intelligence","Library, Café",Night
Lê Anh Minh,Male,EER,,ISFJ,"Karate, V-pop, Baseball, Volleyball, Bowling",Phone call,Share knowledge,Health Care,Home,Evening
Lê Hữu Phúc Minh,Male,ICT,,INFP,"Painting, Badminton, Cooking, Coffee, Tea",Text message,Chit Chatting,Physics,"Home, Library, Online",Overnight
Lê Nhật Minh,Male,AMS,,ESFP,"Alcoholic, Food tour, Rap, Yoga",Text message,Share knowledge,"Calculus, Linear Algebra, Electronic","Bookstore, Home, Library",Midnight
Trần Bình Minh,Male,SST,,ENTP,"Badminton, K-pop, Karate, Football, Table tennis",Text message,Chit Chatting,Environment,"Online, Library",Night
Hà Phương Nguyên,Male,AES,,INTJ,"Swimming, Vlogging, Painting, singing, Rap",In-person (face-to-face),Share knowledge,"Chemistry, Environment","Bookstore, Home, Café",Midnight
Vương Quốc Pháp,Male,CS,,INFP,"Travel, Netflix, Ballet",In-person (face-to-face),Share knowledge,"Chemistry, Programming, Electronic, Physics",Online,Midnight
Nguyễn Doãn Quảng,Male,SST,,ENTP,"Skateboarding, Basketball, EDM, Ballet, Investment",In-person (face-to-face),Study supporter,Practical laboratory,"Online, Library, Home",Midnight
Đặng Trần Thái Sơn,Male,ICT,,ESTJ,"Painting, Football, Travel, K-pop",Text message,Chit Chatting,"Physics, Chemistry","Café, Online",Midnight
Hoàng Đức Thiện,Male,FST,,ISTJ,"Yoga, Volleyball, Study, Alcoholic",In-person (face-to-face),Chit Chatting,Chemistry,"Café, Online",Overnight
Nguyễn Duy Thịnh,Male,AE,,ENFP,"Dancing, Bowling, Swimming",Phone call,Study supporter,"Linear Algebra, Electronic, Programming, Health Care, Environment","Online, Home",Midnight
Nguyễn Trọng Toàn,Male,FST,,ENTP,Gym,Phone call,Share knowledge,"Chemistry, Calculus","Home, Library",Midday
Nguyễn Thành Trung,Male,Pharmacy,,ENTJ,"K-pop, V-pop, Netflix",Text message,Study supporter,Calculus,"Café, Library",Midnight
Nguyễn Anh Tú,Male,AE,,ISTJ,"Makeup, Study, Gym",Text message,Study supporter,Environment,"Bookstore, Online",Early Morning
Nguyễn Đình Tùng,Male,MST,,INFP,"Makeup, Badminton, Baseball, Jogging",In-person (face-to-face),Chit Chatting,"Biology, Physics, Practical laboratory, Artificial Intelligence",Online,Night
Bùi Minh Vũ,Male,AES,,ISFJ,"Investment, Jogging, Painting, Hiphop",Video call,Study supporter,Electronic,"Bookstore, Home, Online",Early Morning
Nguyễn Hoàng Vũ,Male,BIT,,ESFJ,"Travel, Jogging, Board games, Swimming, Rap",Video call,Share knowledge,"Linear Algebra, Calculus, Biology, Chemistry","Home, Café",Overnight
Đặng Đức Anh,Male,SIC,,INTJ,"Dancing, Korean food, Karate, Food tour",In-person (face-to-face),Chit Chatting,Programming,"Bookstore, Home, Online",Midday
Nguyễn Văn Bình,Male,ATE,,ESFP,"Travel, Dancing, Politics, Investment",In-person (face-to-face),Study supporter,Practical laboratory,"Library, Bookstore, Home",Early Morning
Nguyễn Đoàn Cao,Male,SIC,,ENFP,"Football, Politics, Investment, Basketball, V-pop",Video call,Share knowledge,Environment,Online,Evening
Phạm Quốc Chính,Male,MAT,,ESTJ,Karate,Phone call,Chit Chatting,Linear Algebra,Online,Midnight
Đỗ Tấn Dũng,Male,FST,,ENTP,"V-pop, Yoga, Travel, Painting",In-person (face-to-face),Chit Chatting,Artificial Intelligence,Library,Overnight
Nguyễn Tiến Dũng,Male,CH,,ISTJ,"Makeup, Vlogging",Text message,Share knowledge,"Calculus, Health Care","Online, Bookstore",Early Morning
Nguyễn Văn Dũng,Male,SIC,,INTJ,"Bowling, Baseball, Basketball, Anime, Football",Text message,Study supporter,"Artificial Intelligence, Environment, Electronic",Café,Midnight
Dương Quang Độ,Male,AE,,ENTP,"Coffee, Tea, Travel, Volleyball, Jogging, Badminton",Video call,Chit Chatting,"Health Care, Calculus, Chemistry","Library, Bookstore",Midnight
Nguyễn Xuân Hào,Male,SIC,,ESTJ,Travel,Phone call,Study supporter,"Artificial Intelligence, Linear Algebra",Library,Midday
Đào Thiện Minh Hiếu,Male,FST,,ISTJ,"Anime, Table tennis, Swimming",In-person (face-to-face),Chit Chatting,"Physics, Environment, Calculus","Online, Home, Library",Evening
Trần Trung Hiếu,Male,ICT,,ESTJ,"EDM, Table tennis, Karate, Study",Text message,Chit Chatting,"Physics, Practical laboratory, Health Care, Chemistry, Calculus",Online,Midday
Phan Huy Hoàng,Male,FST,,ISFJ,"Korean food, Alcoholic, Movie",Video call,Study supporter,"Environment, Electronic, Calculus, Chemistry","Café, Library",Night
Vũ Hoàng,Male,EER,,ISTP,"Movie, Art",Text message,Share knowledge,"Artificial Intelligence, Environment, Practical laboratory","Bookstore, Home",Evening
Nguyễn Lương Tường Hùng,Male,ATE,,ESTJ,"Movie, Board games, Yoga, Rap, Gym",In-person (face-to-face),Share knowledge,"Biology, Programming, Artificial Intelligence, Health Care, Environment",Home,Evening
Nguyễn Minh Hùng,Male,MST,,ISFJ,"Makeup, Baseball, Football, Basketball",In-person (face-to-face),Share knowledge,"Biology, Calculus, Programming","Online, Library",Night
Vũ Hùng,Male,AMS,,ISTP,Hiphop,Phone call,Study supporter,"Biology, Practical laboratory, Environment, Linear Algebra",Online,Midday
Trịnh Minh Khoa,Male,AES,,ESFJ,"Travel, Basketball, Swimming, EDM",Text message,Share knowledge,"Calculus, Practical laboratory",Home,Night
Lê Đức Khôi,Male,MST,,ISFP,"Netflix, Bowling, Skateboarding",Phone call,Study supporter,"Health Care, Artificial Intelligence","Library, Home",Midnight
Trần Vương Thành Khôi,Male,EER,,ISFP,"Art, Skiing, Anime, K-pop",Phone call,Study supporter,"Chemistry, Biology, Practical laboratory, Linear Algebra, Artificial Intelligence",Library,Midnight
Trịnh Phan Minh Khôi,Male,CH,,INFJ,"Study, Anime, Dancing, DIY",Video call,Chit Chatting,"Environment, Practical laboratory","Bookstore, Café, Home",Night
Phạm Hoàng Kiên,Male,CS,,ISTP,"EDM, Yoga, Baseball, Art, Politics",In-person (face-to-face),Study supporter,Health Care,"Library, Online",Midday
Nguyễn Hải Lâm,Male,AES,,ENFJ,"DIY, Painting",In-person (face-to-face),Share knowledge,Practical laboratory,Home,Overnight
Tạ Đình Lực,Male,AES,,ISTP,"Investment, Cooking, EDM, Swimming",In-person (face-to-face),Chit Chatting,"Electronic, Physics, Health Care",Library,Night
Nguyễn Hoàng Nghĩa,Male,SIC,,ISFP,"Politics, Travel, Football, Board games",Video call,Share knowledge,"Linear Algebra, Biology, Environment, Calculus",Bookstore,Early Morning
Hoàng Nguyên,Male,CS,,ESTP,"Korean food, Vlogging, Art, Swimming, Painting",In-person (face-to-face),Share knowledge,Calculus,"Home, Café",Evening
Phạm Minh Quang,Male,AES,,ESTJ,Anime,In-person (face-to-face),Chit Chatting,Health Care,Bookstore,Overnight
Bạch Thế Sơn,Male,MST,,ESTJ,Jogging,Text message,Chit Chatting,"Physics, Artificial Intelligence, Programming, Environment","Café, Bookstore",Early Morning
Phạm Minh Trí,Male,AMS,,ENFP,"Gym, Dancing, Politics, singing",Phone call,Study supporter,"Electronic, Chemistry, Artificial Intelligence, Health Care","Online, Home",Midday
Nguyễn Quang Trường,Male,SIC,,ENTP,"Study, Karate, Basketball, K-pop, Alcoholic",Video call,Chit Chatting,"Health Care, Electronic, Programming, Practical laboratory, Environment","Café, Online, Bookstore",Evening
Phí Quang Trường,Male,DS,,ESFJ,"Gym, Makeup, Karate, Study, Skiing",Phone call,Study supporter,Chemistry,Home,Midnight
Trần Anh Tuấn,Male,AE,,ISFJ,"Rap, V-pop, Politics, Alcoholic",Video call,Study supporter,"Artificial Intelligence, Programming, Electronic","Online, Bookstore",Evening
Mai Quốc An,Male,ICT,,ESTP,"Basketball, Alcoholic, Football, Netflix, Skiing",In-person (face-to-face),Chit Chatting,"Artificial Intelligence, Biology, Linear Algebra","Online, Bookstore, Library",Midday
Bùi Quỳnh Anh,Female,BIT,,ISFP,"Dancing, Korean food, Anime",Video call,Study supporter,"Environment, Biology, Artificial Intelligence, Physics",Bookstore,Evening
Nguyễn Tú Anh,Female,SST,,ISTJ,Taekwondo,Video call,Share knowledge,"Artificial Intelligence, Electronic, Environment, Practical laboratory, Health Care","Café, Bookstore, Library",Midday
Trương Hải Bình,Male,Pharmacy,,ESTJ,Vlogging,In-person (face-to-face),Share knowledge,"Electronic, Practical laboratory, Linear Algebra",Café,Overnight
Quách Khánh Đức,Male,MST,,ENFJ,"Table tennis, Karate, Netflix",Video call,Study supporter,"Biology, Linear Algebra, Environment",Bookstore,Early Morning
Nguyễn Đình Lê Hoàng,Male,BIT,,INTP,"DIY, Board games, Investment, Jogging, Netflix",In-person (face-to-face),Chit Chatting,"Electronic, Physics",Bookstore,Early Morning
Nguyễn Tuấn Khanh,Male,CH,,ENFJ,"Basketball, Alcoholic, Baseball, Investment, Coffee, Tea",Text message,Study supporter,"Artificial Intelligence, Physics, Linear Algebra, Biology","Library, Bookstore, Online",Midnight
Vũ Huy Khôi,Male,MST,,ENFP,"Skiing, Politics, Skateboarding, DIY",Video call,Chit Chatting,Practical laboratory,"Café, Library",Evening
Nguyễn Bá Kiên,Male,AE,,INTJ,"singing, Travel",Text message,Study supporter,"Programming, Electronic, Artificial Intelligence, Calculus","Home, Library",Midday
Nguyễn Hữu Hoàng Long,Male,AES,,ENFJ,"Table tennis, Investment, Dancing, Volleyball",Phone call,Chit Chatting,"Biology, Environment","Library, Bookstore, Home",Evening
Nguyễn Bá Mạnh,Male,AMS,,ENTJ,Karate,Video call,Chit Chatting,"Biology, Calculus",Bookstore,Early Morning
Đỗ Vĩnh Ngọc Minh,Female,MAT,,ISTP,Dancing,Text message,Chit Chatting,"Electronic, Physics","Library, Bookstore",Early Morning
Nguyễn Tuấn Minh,Male,CH,,ESFJ,"Swimming, Badminton",Phone call,Share knowledge,"Physics, Practical laboratory, Calculus, Environment, Health Care","Library, Online",Overnight
Nguyễn Hồng Phúc,Male,AE,,INTP,"Skateboarding, Food tour, Investment, Skiing, V-pop",Phone call,Share knowledge,"Chemistry, Physics, Electronic, Environment","Library, Bookstore, Home",Night
Thái Đình Quân,Male,SST,,ISTJ,"Skateboarding, Hiphop, Movie, Taekwondo",Phone call,Chit Chatting,"Artificial Intelligence, Chemistry, Biology, Physics, Programming","Home, Library",Overnight
Bùi Tiến Sáng,Male,ICT,,ISTP,"Jogging, Volleyball",Video call,Share knowledge,Practical laboratory,"Bookstore, Library, Online",Overnight
Trần Vĩnh Thuận,Male,DS,,ENFJ,"Coffee, Tea",In-person (face-to-face),Chit Chatting,"Biology, Chemistry, Linear Algebra, Health Care","Online, Café",Night
Lê Ngọc Thủy Tiên,Female,MST,,INTJ,"Table tennis, Skateboarding, Anime, Hiphop",Text message,Share knowledge,"Health Care, Calculus","Online, Library, Café",Overnight
Bùi Đức Anh,Male,Pharmacy,,ISFP,"Badminton, Netflix, Bowling, Table tennis",In-person (face-to-face),Study supporter,"Programming, Environment, Electronic",Home,Midday
Đỗ Hoàng Anh,Male,AES,,ESTJ,Football,In-person (face-to-face),Chit Chatting,"Electronic, Health Care, Chemistry, Physics","Online, Café, Bookstore",Overnight
Lê Đức Anh,Male,FST,,ESFJ,K-pop,Text message,Share knowledge,Electronic,Library,Early Morning
Nguyễn Thế Anh,Male,FST,,ISFP,"V-pop, Food tour, Painting, K-pop",Video call,Chit Chatting,"Physics, Chemistry, Biology, Artificial Intelligence, Calculus","Online, Home, Café",Early Morning
Trần Thái Anh,Male,SST,,ESTP,"Anime, Bowling",Text message,Chit Chatting,"Linear Algebra, Programming, Biology",Bookstore,Overnight
Vương Chí Bách,Male,DS,,INTJ,Basketball,Phone call,Chit Chatting,"Electronic, Programming, Environment, Physics, Artificial Intelligence","Online, Home, Bookstore",Midday
Dương Văn Bảo,Male,SST,,ESTJ,"Baseball, DIY, Bowling",In-person (face-to-face),Chit Chatting,Electronic,Home,Night
Lê Việt Chung,Male,Pharmacy,,ISFJ,"Football, Yoga, Food tour, Hiphop",In-person (face-to-face),Study supporter,"Environment, Electronic, Physics, Calculus, Artificial Intelligence","Café, Online",Night
Nguyễn Tiến Chung,Male,MST,,ESTJ,Movie,Text message,Chit Chatting,"Practical laboratory, Chemistry, Linear Algebra, Electronic, Environment",Bookstore,Evening
Đinh Văn Cường,Male,CH,,ISTP,"Travel, Vlogging",Video call,Share knowledge,"Health Care, Environment, Artificial Intelligence","Online, Home, Library",Midnight
Lương Đình Thành Doanh,Male,SIC,,ESFP,"Study, Skiing, Karate, singing",In-person (face-to-face),Study supporter,"Environment, Calculus, Biology",Library,Evening
Nguyễn Anh Duy,Male,EER,,ENFJ,"Skateboarding, Anime, DIY, Jogging",Video call,Share knowledge,"Electronic, Environment, Programming","Library, Online",Night
Đỗ Hải Dương,Male,MST,,ESFP,"Jogging, DIY",Phone call,Study supporter,"Chemistry, Programming",Bookstore,Midday
Trần Ngọc Dương,Male,CS,,ISFP,"Volleyball, Skateboarding",Video call,Chit Chatting,"Electronic, Linear Algebra",Online,Midday
Trần Nguyễn Bảo Dương,Male,BIT,,ISTP,"Yoga, Jogging",Text message,Study supporter,"Chemistry, Programming","Home, Bookstore",Midday
Hoàng Văn Giang,Male,SIC,,ISTP,"EDM, Study",In-person (face-to-face),Share knowledge,"Artificial Intelligence, Electronic, Biology, Programming","Library, Online, Home",Night
Nguyễn Duy Hùng,Male,AE,,ENTJ,Gym,Text message,Study supporter,"Health Care, Artificial Intelligence, Linear Algebra","Bookstore, Online",Evening
Trần Việt Hùng,Male,MST,,ESFJ,"Korean food, Volleyball, Ballet",In-person (face-to-face),Chit Chatting,"Biology, Electronic, Physics","Online, Home",Evening
Lê Quang Huy,Male,AMS,,ENFJ,"Skateboarding, K-pop, Dancing",Phone call,Share knowledge,Electronic,"Library, Café",Early Morning
Hoàng Văn Khải,Male,ICT,,INFJ,"Football, K-pop, Art",Video call,Share knowledge,"Chemistry, Health Care, Linear Algebra, Calculus","Bookstore, Online",Midnight
Nguyễn Văn Khoát,Male,ICT,,ENTP,"Food tour, Hiphop, DIY, V-pop",Phone call,Chit Chatting,"Electronic, Linear Algebra, Health Care, Practical laboratory",Café,Early Morning
Nguyễn Lê Minh Khôi,Male,AE,,ESFJ,"Basketball, EDM",Video call,Study supporter,"Health Care, Physics, Practical laboratory, Programming, Calculus","Library, Home",Midday
Phạm Xuân Khôi,Male,EER,,ISFP,"Anime, K-pop",Phone call,Chit Chatting,"Chemistry, Artificial Intelligence","Library, Online",Early Morning
Ngô Trung Kiên,Male,AE,,ESTJ,Ballet,Text message,Study supporter,"Calculus, Practical laboratory, Environment, Programming","Bookstore, Library",Midday
Phạm Tùng Lâm,Male,MST,,INTJ,"Hiphop, DIY, Makeup",Video call,Share knowledge,Chemistry,"Bookstore, Café",Night
Đỗ Văn Linh,Male,SIC,,ESFP,"Badminton, Skateboarding, Board games, EDM, Movie",Phone call,Chit Chatting,"Programming, Practical laboratory, Calculus",Bookstore,Midnight
Đỗ Nguyễn Tiểu Long,Male,AE,,ESFJ,"K-pop, Alcoholic, Gym, Travel",Video call,Share knowledge,"Environment, Linear Algebra",Home,Midday
Đỗ Tuấn Long,Male,ATE,,ISFJ,"Badminton, Volleyball, Alcoholic",Text message,Chit Chatting,Artificial Intelligence,"Café, Bookstore",Overnight
Hoàng Hải Long,Male,AMS,,INFP,"Coffee, Tea, Jogging, Rap",Phone call,Study supporter,Physics,"Online, Home, Café",Early Morning
Bùi Duy Lương,Male,MST,,ISFJ,"Hiphop, singing",Video call,Chit Chatting,"Calculus, Environment","Library, Home",Midday
La Hoàng Minh,Male,ATE,,ESFJ,"Movie, Dancing, Hiphop, Politics",Video call,Share knowledge,"Physics, Practical laboratory, Environment","Bookstore, Online, Café",Early Morning
Nguyễn Đức Minh,Male,AMS,,ISFJ,Badminton,Text message,Chit Chatting,"Electronic, Artificial Intelligence, Physics, Environment","Library, Bookstore, Café",Midnight
